Abbie Hoffman
Alfred Nobel
Adam Smith
Augusto Pinochet
Antoine de Saint-Exupéry
Aki Kaurismäki
Abramo Abulafia
Aldo Moro
Abraham de Moivre
Alan Kay
Antonio Fogazzaro
Alan Turing
Augustin-Louis Cauchy
Alfredo Binda
Alfred Hitchcock
Alain Delon
Adrien-Marie Legendre
Angela e Luciana Giussani
Anna Maria Pierangeli
Abraham Wald
Andrew Stuart Tanenbaum
Bertha von Suttner
Ba'al Shem Tov
Bud Spencer
Brian Kernighan
Benoît Mandelbrot
Bjarne Stroustrup
Bono (cantante)
Bernard Hinault
Barry Cunliffe
Bernardo Bertolucci
Camillo Benso, conte di Cavour
Corrado Gini
Niccolò Copernico
Confucio
Charles Krauthammer
Chaim Potok
Carl Sassenrath
Carl Friedrich Gauss
Carlo Ghega
Charles Henri Valentin Alkan
Corrado III del Sacro Romano Impero
Compay Segundo
Claude Jade
Caligola
Carlo Collodi
Charles Chubb
Claudio
Charles Messier
Nerone
Charlie Chaplin
Douglas Adams
Daniel Pennac
Dennis Ritchie
Déodat de Dolomieu
Daniel Picouly
Daniel Rutherford
Dino Meneghin
David Cox
Eleonora d'Arborea
Erminio Macario
Egon Pearson
Ernst Abbe
Emilio Salgari
Edmondo De Amicis
Enrico Fermi
Eddy Merckx
Eriprando Visconti
Elia Kazan
Emilio de' Cavalieri
Edwin Hubble
Paul Gauguin
Francis Galton
Frank Yates
Federico II del Sacro Romano Impero
Fausto Coppi
François Truffaut
Frank Wilcoxon
Franco Corelli
Francesca Caccini
Ferenc Molnár
Frida Kahlo
Giorgio Gaber
George W. Snedecor
Gaetano Donizetti
Gianni Agnelli
Gershom Scholem
Greta Garbo
Gino Bartali
Georges Simenon
Jules Verne
Gioachino Rossini
Giulio Caccini
Girolamo Frescobaldi
Guido Bentivoglio
Gaetano Bresci
Giulietta Masina
Gottlob Frege
H. G. Wells
Hans Blix
Humphrey Bogart
Howard Carter
Il Passatore
Isabel Allende
Isaac Asimov
Isaac Bashevis Singer
Perugino
Irving Kaplansky
Ipparco di Nicea
Isabelle Huppert
Irénée-Jules Bienaymé
Irving Fisher
Guercino
Jimmy Carter
James Clerk Maxwell
Joe Satriani
Jerzy Neyman
John Ronald Reuel Tolkien
John Maynard Keynes
Jakob Bernoulli
John Herschel
James Stirling (matematico)
Giovanni Keplero
Joan Crawford
John Logie Baird
Johann Heinrich Lambert
Jacques Anquetil
Jean-Pierre Léaud
Johnny Cash
John Wilder Tukey
Jean-Baptiste de Lamarck
Karl Pearson
Andrej Nikolaevič Kolmogorov
Kim Eric Drexler
Katharine Hepburn
Aleksandr Fëdorovič Kerenskij
Kurt Gödel
Luiz Inácio Lula da Silva
Liv Tyler
Linus Torvalds
Adolphe Quételet
Leonid Kreutzer
Leonard Woolley
Licio Gelli
Ludwig Boltzmann
Lev Davidovič Landau
Muhammad al-Barade'i
Miguel Indurain
Michel Piccoli
Massimo Serato
Mathurin-Jacques Brisson
Milo Manara
Marie Curie
Nikolaus August Otto
Niklaus Wirth
Niels Bohr
Oscar Neumann
Oliver Stone
Philip K. Dick
Papa Pio XI
Papa Clemente III
Pierre Simon Laplace
Papa Alessandro II
Papa Giovanni VIII
Papa Formoso
Papa Silvestro I
Papa Clemente V
Pafnutij L'vovič Čebyšëv
Paul Dirac
Philippe Noiret
Papa Gregorio I
Pietro Micca
Palmiro Togliatti
Paul Hindemith
Paul Revere
Quintino Sella
Ronald Fisher
Richard Stallman
Ralph Merkle
Richard Feynman
Richard Threlkeld Cox
Roberto Calvi
Ruggero II di Sicilia
Robert Wilhelm Bunsen
Ridley Scott
Robin Williams
Stefano Benni
Salvador Allende
Siméon-Denis Poisson
Chiara d'Assisi
Rosa da Lima
Sidney Siegel
Ștefan III cel Mare
Teresa di Lisieux
Timothy Leary
Terence Hill
Thomas Bayes
Todd Rundgren
Tiberio
Theodorus van Gogh
Tim Berners-Lee
Thomas Edward Lawrence
Tucidide
Umberto Eco
Vilfredo Pareto
Vere Gordon Childe
Vittorio Amedeo II di Savoia
William Playfair
Władysław Szpilman
William Herschel
Winston Churchill
Wilhelm Conrad Röntgen
Wilhelm Lexis
William Gemmell Cochran
William Sealy Gosset
Banana Yoshimoto
Raymond Queneau
John von Neumann
Gilberto Govi
Costantino I
Louis Leakey
Mortimer Wheeler
Bette Davis
Marlene Dietrich
Urbain Le Verrier
John Couch Adams
Rodolfo Valentino
Giuseppina Strepponi
Luciano Manara
Lenin
Fratelli Wright
Gō Nagai
Stanley Kubrick
Giovanni Cassini
Tito Flavio Vespasiano
Isaac Newton
Vladimir Semënovič Vysockij
Pancho Villa
Cecil B. DeMille
Werner Karl Heisenberg
Emiliano Zapata
Venustiano Carranza
Francisco Madero
Porfirio Díaz
Victoriano Huerta
Ildegarda di Bingen
Vittorio Emanuele II d'Italia
Umberto I d'Italia
Vittorio Emanuele III d'Italia
Cary Grant
Steven Spielberg
Carlo Azeglio Ciampi
Santiago Ramón y Cajal
Gottfried Wilhelm von Leibniz
Francesco Guccini
Tÿcho Brahe
James Watt
Alessandro Volta
Amedeo Avogadro
Alfred Jarry
Roger Penrose
Jurij Gagarin
Peter Sellers
Erodoto
Max Euwe
François Villon
Delia Scala
Charles Bronson
Parmigianino
James Hoban
Thomas Graham
Édith Piaf
Laurie Anderson
Papa Gregorio VII
Tarquinio Prisco
Terry Gilliam
Gregorio Palamas
Piergiorgio Odifreddi
Servio Tullio
Antonio Meucci
Marco Vitruvio Pollione
Lana Turner
Jean de La Fontaine
"Weird Al" Yankovic
Albert Speer
Joseph Goebbels
Sandro Pertini
Oskar Schindler
Giorgio Bassani
Erwin Rommel
Amos Meller
Marcel Griaule
Karl Dönitz
Giacomo I d'Inghilterra
Jules Michelet
Benito Juárez
Rosa Luxemburg
Karl Liebknecht
Kevin Smith
Will Eisner
Anassimandro
Anassimene di Mileto
Carl Barks
San Valentino
Marco Pantani
David Hilbert
Gregorio di Tours
Papa Bonifacio III
Adam Mickiewicz
Renato Caccioppoli
Fryderyk Chopin
Beatrice Portinari
Boris Vasil'evič Spasskij
Michail Nechem'evič Tal'
Giuseppe Colombo (matematico)
Tito (imperatore romano)
Servio Sulpicio Galba (imperatore romano)
Antoon van Dyck
Harald Sverdrup
John Charles
Paolo Ruffini (matematico)
Ole Rømer
William Thomson
Ettore Tolomei
Chuck Berry
Luis Durnwalder
Otone
Boris Trajkovski
Alfred North Whitehead
Ada Lovelace
Agatha Christie
The Edge
Nicola del Giappone
Karl Popper
Osama bin Laden
Ottone II del Sacro Romano Impero
Boris Pasternak
Giangiacomo Feltrinelli
Showa del Giappone
Taisho del Giappone
Meiji del Giappone
Kammu
Kogyoku
Koken
Wolfgang Pauli
Carmen Covito
Hedy Lamarr
Victor Hugo
Thomas Kuhn
Pierre-Joseph Proudhon
Angela Merkel
Walt Kelly
Robert Hooke
Georg Cantor
Pier Paolo Pasolini
Vitellio
John Kerry
Graham Hill
Damon Hill
Giovanni Giorgi (fisico)
Le Corbusier
Aleksandr Nikolaevič Skrjabin
Domiziano
Roald Amundsen
Sergio Leone
David Lynch
Jef Raskin
Seymour Cray
Lev Trotsky
Amerigo Vespucci
Alexander Graham Bell
Ralf Schumacher
Juan Pablo Montoya
Little Richard
Eraclito
Lech Wałęsa
Jim Morrison
Tennessee Ernie Ford
Nanni Moretti
Mary Shelley
Andrew Viterbi
Arno Penzias
Robert Woodrow Wilson
George Gamow
Fred Hoyle
Raymond Poincaré
Jack Hannah
Karen Blixen
Ray Manzarek
Alberto Savinio
Bill Atkinson
Vjačeslav Michajlovič Molotov
Henryk Sienkiewicz
Edgar Rice Burroughs
Monica Vitti
Friedrich Heinrich von Kittlitz
Claudio Tolomeo
Nathaniel Hawthorne
Jarl Waldemar Lindeberg
Franz Brentano
Daniel Bernoulli
Luchino Visconti
Publio Elio Traiano Adriano
John Donne
Mario Lanza
William Shakespeare
Alfred Baeumler
Ozzy Osbourne
Roberto Benigni
Antonino Pio
John Foster Dulles
Giacomo Matteotti
Ippocrate di Coo
Ludwig van Beethoven
Ahmed Yassin
Giacomo Casanova
Marco Aurelio
Dino Buzzati
Danijel Zezelj
Gian Giorgio Trissino
Christiaan Huygens
Lucio Vero
Ryūnosuke Akutagawa
Osamu Dazai
Taisen Deshimaru
Fumiko Enchi
Takehiko Fukunaga
Yasunari Kawabata
Yukio Mishima
Miyamoto Musashi
Ōgai Mori
Ryū Murakami
Kenzaburō Ōe
Okakura Kakuzō
Jun'ichirō Tanizaki
Yuko Tsushima
Thomas Mann
Walt Whitman
Raymond Chandler
Sōseki Natsume
Antonio Scarpa
Alexandre Kojève
Baltasar Garzón
Leonardo Fibonacci
Tullio Levi Civita
Parmenide
Edmund Husserl
Ennio De Giorgi
Enrico Bombieri
Paul Cohen
Eugenio Calabi
Pertinace
Andrea Luca Luchesi
Denis Guedj
Settimio Severo
Kōbō Abe
Juan Gimenez
Giancarlo Rota
Ahmet Necdet Sezer
Recep Tayyip Erdoğan
Anthelme Brillat-Savarin
John Todd Zimmer
Hans Jonas
Grimod de la Reynière
August von Pelzeln
Jan de Weryha-Wysoczański
Ho Chi Minh
Protagora
Abdullah Gül
Caracalla
Leucippo (filosofo)
Zenone di Elea
Carl Stumpf
Võ Nguyên Giáp
Martin Luther King
Gabriella Ferri
Jerry Siegel
Juliette Gréco
Elisabeth Kopp
Macrino
Moritz Schlick
Marguerite Yourcenar
Dick Kinney
Henry Ford
Rudolf Carnap
Senofane
Otto Neurath
Gautama Buddha
Neil Gaiman
Giustiniana Wynne
Benito Jacovitti
Rustico Filippi
Papa Urbano VIII
Democrito
Ammonio Sacca
Eliogabalo
Bettino Ricasoli
Erika Mann
Robert Schuman
Lucio Accio
Daan Jippes
Eduard Buchner
Ardengo Soffici
Herbert Feigl
Alessandro Baricco
Enrico Caruso
Plotino
Porfirio
Saffo
Sean Connery
Blake Edwards
Konrad Adenauer
Clive Sinclair
Karl Jaspers
Henri Bergson
Simone de Beauvoir
Adrien Brody
Murasaki Shikibu
Jean-Paul Sartre
James Matthew Barrie
Euclide
Anatole France
Vivien Leigh
Giacomo il Maggiore
San Giorgio
Proclo
Ed Rendell
Maurits Cornelis Escher
Papa Clemente VII
Charles Sanders Peirce
Carl Fallberg
Pietro Cascella
Charles Dickens
Tarquinio il Superbo
Bram Stoker
Giuseppe Peano
Manfred von Richthofen
Vicar
Clark Gable
Osvaldo Soriano
Lucille Ball
Astor Piazzolla
Madame de Staël
Jacques Necker
Max Weber
Max Planck
Vladimir Michajlovič Komarov
Cesare Beccaria
Carlo I d'Angiò
Ludwig Wittgenstein
Amedeo Modigliani
John Milton
Art Spiegelman
Samuel Morse
Jean Monnet
Arthur Compton
Clara Petacci
Carlo Matteucci
André-Marie Ampère
Jabir ibn Hayyan
Anders Jonas Ångström
Antoine Henri Becquerel
Terenzio Mamiani
Paolo Boselli
Max Born
Joachim von Ribbentrop
Eva Braun
Masaccio
Paolo Uccello
Donatello
Giovannino Guareschi
Tintoretto
Pietro Colletta
Fred Gallagher
Cristina di Svezia
Novalis
Charles Lindbergh
Luigi Carlo Farini
Vinicio Capossela
Steve Jobs
Chris Claremont
George Boole
Fred Buscaglione
William Penn
Papa Benedetto XIV
Einar Lönnberg
Hialmar Rendahl
Abraham Yehoshua
Franz Werfel
Audrey Hepburn
Keith Haring
Katsushika Hokusai
Duns Scoto
Ewan McGregor
Ray Bradbury
Antonio Virgilio Savona
Lucia Mannucci
Tata Giacobetti
Walter Edmond Clyde Todd
Silvia Ziche
Christian von Ehrenfels
Tomáš Masaryk
Harold Warner Munn
Arthur Conan Doyle
Giovanni D'Anzi
Alfredo Bracchi
Papa Marcello II
James Lee Peters
Edgar Hoffmann Price
William Hope Hodgson
Marco Minghetti
Natalino Otto
Wilkie Collins
Johannes Brahms
Al Taliaferro
Flo Sandon's
Antoine-Laurent de Lavoisier
Gilles Villeneuve
Evita Perón
Roberto Rossellini
Robert Tarjan
Peter W. Shor
Friedrich Schiller
Davíð Oddsson
Ólafur Ragnar Grímsson
Vigdís Finnbogadóttir
Kristján Eldjárn
Ásgeir Ásgeirsson
Sveinn Björnsson
Abraham Lincoln
Gaetano Salvemini
Ludwik Lejzer Zamenhof
Maurice Herzog
Leo Chiosso
Louis Lachenal
Jan Matejko
Arthur Schnitzler
Ernesto Bonino
Hieronymus Bosch
Perry Como
Georges Clemenceau
Corrado Segre
Antonio Pacinotti
Alessandro Severo
Max Abraham
Gustav Stresemann
Maria Gaetana Agnesi
Aristide Briand
Suzaku
Rita Hayworth
George Lucas
Marco van Basten
Ruud Gullit
Philippe Dreyfus
Papa Stefano VII
Joseph Roth
Thomas Woodrow Wilson
Claudio Monteverdi
Georges Brassens
Bobby Fischer
Seabury Quinn
Sammy Davis Jr.
Gavrilo Princip
Matsuo Bashō
Walter Gropius
Samuel Clarke
Sonia Gandhi
Dean Martin
Richard Nixon
Anna Bolena
Walt Disney
Giovanni Battista Amici
Franz Grillparzer
Peter Lawford
Massimino Trace
Arturo Toscanini
Edward Morley
Platone
Joey Bishop
Albrecht Dürer
Antonio Abetti
Giorgio Abetti
Giacomo Albanese
Raymond Burr
Luigi Amoroso
Jérôme Lalande
Giovanni Antonelli
Sophie Germain
Galeazzo Ciano
Cesare Cantù
Italo Balbo
Caterina d'Aragona
