Ahmed Aboutaleb,143830665,
Alan Shepard,32098791,
Alasdair MacIntyre,59097107,
Alberto Iglesias,57559342,
Albino Pierro,88866049,
Alfonso Arau,24798835,
Allan Kardec,31991830,
Álvares de Azevedo,68937811,
Amy Jo Johnson,86935285,
Andrew Stuart Tanenbaum,66487386,
Anjani,67668751,
Anna Paquin,39576613,
Antonin-Dalmace Sertillanges,66505734,
Arnaud Clément,231017625,
Audoino,90823474,
Barbara Luddy,2235337,
Bernard Strigel,49494641,
Bobby Campo,106869476,
Branko Radičević,41946613,
Brigitte Horney,12515917,
Brooks Stevens,3530815,
Busta Rhymes,61741471,
Caleb Carr,84024284,
Callisto Piazza,69825406,
Carlo Carafa della Spina,76306384,IT\ICCU\BVEV\070513
Carlo Francesco Bizzaccheri,1065271,
Carlo II d'Inghilterra,88984774,
Carlo Munier,5116167,
Carlos Gómez (attore),19495466,
Carl Wigand Maximilian Jacobi,49533130,
Catherine Hardwicke,51394598,
Chamillionaire,29827921,
Charles Brockden Brown,49222478,
Chris Merritt,113883759,
Cornelis de Houtman,103216986,
Cornell Capa,29551187,
Dack Rambo,41595330,
Daniel Sánchez Arévalo,81298883,
Davide IV di Georgia,7775583,
Diego Mesaglio,107813148,
Edith Wharton,17230986,
Édouard-Léon Scott de Martinville,83564306,
Elechi Amadi,110747894,
Elsbeth Ebertin,20464803,
Elvin Hayes,6017917,
Émile Lemoine,19776072,
"Enrico Nassau, Lord Auverquerque",123918184,
Eugene Lukacs,92091354,
Federico VI di Baden-Durlach,10585392,
Filippo Taglioni,37022097,
Francesco Contarini,13512429,
Franciscus Donders,17967167,
Franz Welser-Möst,39568598,
Frédéric François-Marsal,30724878,
Frederick William Mackey Holliday,101524855,
"George, duca di Kent",37715549
George Smith Patton,19799369,
Germinal Pierre Dandelin,26989693,
Gerry Rafferty,84507908,
Gertrud Bing,3215209,
Gige (Lidia),58259575,
Gijsbert Van Tienhoven,17998218,
Giovan Battista Gelli,12380970,
Giovanni Goria,34736018,
Giovanni II del Portogallo,100444480,
Giovanni Pietro da Cemmo,137959863,
Giovanni V Paleologo,165364727,
Giuseppe Torelli,37103591,
Goffredo Malaterra,54279828,
Grace Murray Hopper,873229,
Graham Payn,56691203,
Grigol Abashidze,116098379,
Guglielmo V di Orange-Nassau,42646499,
H. Bruce Humberstone,86925853,
Hrant Dink,61864565,
Ian Hunter (cantante),35670298,
Il'ja Il'ič Mečnikov,29663312,
Ingibjörg Sólrún Gísladóttir,1669501,
Jack Endino,79801693,
Jacki Weaver,41365755,
Jacques Maritain,7393855,
James Darcy Freeman,89071653,
James Dreyfus,86640127,
James Hayter,34659920,
James Sheridan Knowles,59352010,
Jan Garbarek,115557508,
Jason Kay,15988952,
Jean Bruce,34466647,
Jean-François Lyotard,108393539,
Jean Picard,68937663,
Jean-Pierre Léaud,17407951,
Jeff Hephner,149339598,
Jérôme Rothen,15108035,
Jerzy Popiełuszko,89727493,
Jim Kelly (giocatore di football americano),58270731,
Jimmy Somerville,77529820,
Jiro Yoshihara,60279458,
Johann David Schoepff,17985295,
John Cooke,45729182,
John Joseph Carberry,36548707,
John Pell,5190555,
John Wesley Hyatt,68800264,
Jonah Hill,5250414,
Jonathan Banks,51897838,
Josef Fischer,3648552,
Joseph d'Arbaud,68924707,
Joseph Leidy,19738942,
Joseph Schildkraut,22343625,
Josh Hamilton (giocatore di baseball),38849855,
Julie Kavner,117631437,
Kundan Shah,46663289,
Kuniaki Koiso,110232625,
Kunio Maekawa,91944476,
Léon Delacroix,49217736,
Leon Uris,66474442,
Leopold Damrosch,66730233,
Lothar Ledderose,93799832,
Luděk Pachman,73858146,
Luigi Fontanella,51704333,
Luka Mislej,72553144,
Macedonio Fernández,7423470,
Manfredo Manfredi (architetto),45380989,
Mark Gordon,30846721,
Matthew Perry (ufficiale di marina),37133702,
Max Wertheimer,76399418,
Melinda Gates,60989955,
Michel Polnareff,41980648,
Miran Hrovatin,106770775,
Misstress Barbara,102876968,
Nas (rapper),85500005,
Nicolò Da Ponte,21130496,
Nimród Antal,49554213,
Otto von Münchhausen,59425162,
Papa Sisinnio,10203640,
Paul Cassirer,30334675,
Paul Clemens von Baumgarten,5673647,
Paul Plishka,114452566,
Percival Everett,120212810,
Peter Larsson (calciatore 1961),54121250,
Pier Andrea Saccardo,29524298,
Piero Fassino,233444581,
Pierre-Joseph Redouté,46766391,
Práxedes Mateo Sagasta,72203065,
Quentin Skinner,39393791,
Raffaello Magiotti,73486682,
Raimondo Lullo,64010800,
Ramón José Velásquez,40676900,
René Allio,22172315,
Richard Stallman,172877655,
Robert Bridges,73868561,
Robert Brown (attore britannico),90568899,
Robert Weede,29716828,
Rowena Morrill,2392873,
Rudolf Clausius,36968732,
Rufus Wilmot Griswold,17212832,
Sabiha Sumar,63574698,
Shankar Dayal Sharma,116904326,
Shantel,,
Shigeru Yoshida,17336463,
Shirley Jackson,91864979,
Shwayze,80467225,
Sophie Crüwell,275704,
Stacy Lattisaw,66658473,
Stefen Fangmeier,17523486,
Steve Cropper,46955024,
Symphony Sid,26677750,
Thomas Ford,,
Thomas Kyd,29614087,
Tigran Vartanovič Petrosjan,74648375,
Tivadar Kosztka Csontváry,44377233,
Tommaso III di Saluzzo,45249443,
Trisha Brown,88069346,
Vasile Aaron,62890045,
Verena di Zurzach,64803306,
Vladimir Jakovlevič Propp,2480786,
Walter Salles,42048256,
Walther von Brauchitsch,44428610,
William Desmond Taylor,62634283,
William M. Ramsay,41830462,
William Pulteney,68924186,
William Wilberforce,36925883,
Melanie Klein,19679628,
Marion Leonard,4858072,
"John George Vanderbilt Spencer-Churchill, XI duca di Marlborough",167240343,
Cliff Robertson,90670136,
Pieter Cornelis Boutens,12275722,
Luigi Chiarini,51816330,IT\ICCU\RAVV\054500
Philip Ahn,54440401,
Jan-Michael Vincent,51881060,
Chris Bachalo,2575527,
Friedrich Ferdinand von Beust,64232009,
Ethan Ruan,169787787,
Libero Bovio,51731923,
Song Jiaoren,8703657,
Go-Murakami,100785879,
Jean-Achille Benouville,70030296,
Sancho II di Castiglia,171028285,
Robert Watts,5135510,
Whitcomb Judson,132950230,
Camillo Cortellini,16066886,
Karl Gustav Mitscherlich,57382499,
Evgenij Morozov,152687617,
Giovanni Giraldi,51729081,
Peter Yarrow,84167935,
Gregor Piatigorsky,46947379,
Georg Tintner,117014943,
Roland Robertson,107605774,
John Raphael Smith,79202309,
Catherine Wolfe Bruce,46698336,
Robert Campin,46333935,
Johannes Heesters,85736837,
Sean Maher,51500340,
Lido (ceramografo),7200094,
Sidney Govou,224117680,
Fernando Di Leo,64209033,IT\ICCU\MODV\295807
Jason Lewis,76048322,
Arnaud Michel d'Abbadie,9966666,
Ingo Maurer,29637240,
Hermes Rodrigues da Fonseca,70324238,
Julian Cannonball Adderley,36906016,
Irwin Yablans,87072815,
Ernest Esclangon,36911953,
Giovanni di Brienne,10669051,
Connie Francis,64191680,
Leopoldo II del Belgio,14789870,
Jakob Lorber,19688870,
Antonio Maria Mazzoni,17537568,
Henri Matisse,42630086,
Margaret Wycherly,27268238,
David Warner,29723974,
Ernst Lubitsch,56627503,
Giorgio Piccardi,36173837,
Enrico V del Palatinato,40243601,
Joachim Ringleben,93284846,
William Buckland,68995683,
Leon Haslam,96789333,
Robert Szatkowski,95050180,
Ashton Kutcher,14983601,
Teresa Cunegonda Sobieska di Polonia,22945156,
Natsuky Takaya,56828971,
Cheiro,62004620,
Karl Ferdinand Gutzkow,54189710,
Bosson,80033391,
Eriq La Salle,71020541,
Carl Anderson (cantante),106507170,
Sergio Ramos,169833874,
Jay Leno,13110911,
Emma Stone,29366298,
Michel Fattal,111511472,
Lisa Nicole Carson,66102465,
Bernhard Horwitz,169599333,
Erich Mendelsohn,64036345,
Avery Brundage,64798668,
Amanda Beard,268575337,
Jean Baptiste Charles Bouvet de Lozier,78603991,
Marley Shelton,64211979,
Paul Graener,22325751,
Hans Magnus Enzensberger,31725760,
Anton Dohrn,81327,
Federico II di Brandeburgo,22932880,
Carlo Tommaso di Lorena,50122059,
Juho Vennola,9509262,
Karen Dotrice,12515226,
Eduard Vilde,105016,
Luigi Antonio di Borbone-Francia,24714167,
Jean Verdier,73887785,
Alberto di Sassonia-Eisenach,71776458,
Marija Aleksandrovna Spiridonova,27884279,
Toulo de Graffenried,43029311,
Leslie Wing Pomeroy,58374957,
Louis Botha,50016466,
Charles D. Hall,53955550,
Jakub Jan Ryba,76505912,
Johann Liss,,
Mike Einziger,44533340,
Giovanni Adolfo II di Sassonia-Weissenfels,12735130,
Eddie Jefferson,12497354,
Mario Calvo Platero,36762894,
Hassan Gouled Aptidon,64169601,
Roman Ingarden,108241126,
Justinien Clary,14810532,
Stane Dolanc,18292444,
Miles Davis,97762193,
Rainer Maria Rilke,46897170,
John Spike,17251049,
Stephen Flowers,76929306,
Donn Cambern,78346797,
Gene Callahan,6774397,
Gottfried von Hohenlohe,37831702,
Michael Dukakis,3764338,
Riccardo Billi,86892182,
Mathilde Seigner,2139147,
Remco Campert,85327177,
Catherine Zeta-Jones,117030909,
Erin Daniels,34220320,
Jane Winton,93814456,
Ilaria Alpi,64859956,
Valdis Dombrovskis,168843281,
Katey Sagal,11874955,
Pia Tassinari,76507302,
David Bailey,112237914,
David Zayas,66280476,
Franco Faccio,27227494,
Vincenzo Fagiolo,41722522,
Oscar Niemeyer,22146474,
Heinrich Clam-Martinic,103376618,
Alexander Lippisch,3238058,
